Start Time:  09-02-2026 11:05:58          Time Completed:  09-02-2026 11:57:16      Elapsed Time:  00:51:17
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\NECitrico@260203a.txt
Plot File:     C:\IDEASVSM\LS_QC\NECitrico@260203a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\NECitrico@260203a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000.6 	 0.0285542 	
 17999.9 	 0.0285647 	
 16999.2 	 0.0285499 	
 16000 	 0.0285406 	
 15000 	 0.0285127 	
 14000 	 0.02846 	
 13000 	 0.0283814 	
 12000 	 0.0282736 	
 11000 	 0.0281664 	
 9999.99 	 0.0280079 	
 9000.02 	 0.0277844 	
 8000.03 	 0.027545 	
 7000.03 	 0.0272317 	
 5999.99 	 0.0268824 	
 4999.98 	 0.0264351 	
 4000.01 	 0.0257423 	
 2999.65 	 0.0248688 	
 2000.01 	 0.0235228 	
 999.986 	 0.0208328 	
 949.993 	 0.0204941 	
 899.995 	 0.0202135 	
 849.993 	 0.0199372 	
 799.989 	 0.0196578 	
 749.999 	 0.0193516 	
 699.983 	 0.0190333 	
 649.999 	 0.0186895 	
 600.002 	 0.018313 	
 550.002 	 0.0178988 	
 499.998 	 0.0174394 	
 450.004 	 0.0169202 	
 400.005 	 0.0163357 	
 350.005 	 0.0156515 	
 299.996 	 0.0148643 	
 249.992 	 0.0139205 	
 199.995 	 0.0127493 	
 189.991 	 0.012432 	
 179.99 	 0.0121291 	
 170.002 	 0.0118232 	
 159.997 	 0.0114759 	
 149.996 	 0.0111553 	
 140.006 	 0.0108093 	
 129.998 	 0.0104431 	
 119.999 	 0.0100437 	
 109.995 	 0.00961259 	
 100.004 	 0.00915617 	
 90.015 	 0.00866089 	
 79.997 	 0.00811986 	
 70.0008 	 0.00752504 	
 59.9909 	 0.00686884 	
 49.9972 	 0.00613877 	
 40.0054 	 0.0053197 	
 29.9574 	 0.00421348 	
 19.9985 	 0.00332382 	
 18.0014 	 0.00306049 	
 15.999 	 0.0028046 	
 13.995 	 0.00254559 	
 12.0021 	 0.00228534 	
 9.99958 	 0.00201346 	
 7.99841 	 0.0017329 	
 5.9901 	 0.00143894 	
 3.99652 	 0.0011356 	
 1.99853 	 0.000803132 	
-0.0103483 	 0.000338469 	
-2.00455 	-0.000132866 	
-3.9938 	-0.000450231 	
-6.00013 	-0.000724177 	
-8.00171 	-0.000957623 	
-10.0018 	-0.00119701 	
-12.0047 	-0.00143549 	
-14.0001 	-0.00167805 	
-16.0062 	-0.00192707 	
-17.9901 	-0.0021826 	
-20.0003 	-0.00245226 	
-29.9964 	-0.003542 	
-40.0069 	-0.0045617 	
-49.9937 	-0.00555113 	
-60.0011 	-0.00628919 	
-70.0001 	-0.00696335 	
-80.0033 	-0.00757305 	
-89.6658 	-0.00811235 	
-100.003 	-0.00864795 	
-110.003 	-0.00912726 	
-120 	-0.00958198 	
-129.995 	-0.010035 	
-139.994 	-0.0104077 	
-150.003 	-0.010761 	
-160.005 	-0.0111259 	
-170.004 	-0.01144 	
-180.003 	-0.0117354 	
-189.99 	-0.0120179 	
-199.998 	-0.0122904 	
-250.015 	-0.0134413 	
-299.992 	-0.0143766 	
-350.006 	-0.0152142 	
-399.996 	-0.015891 	
-450.007 	-0.0164671 	
-499.994 	-0.0169772 	
-550.004 	-0.0174233 	
-600.003 	-0.0178301 	
-649.997 	-0.0181944 	
-700.004 	-0.0185567 	
-750.001 	-0.0188634 	
-800.005 	-0.0191432 	
-849.998 	-0.0194009 	
-900 	-0.0196437 	
-950.004 	-0.019881 	
-1000 	-0.020092 	
-2000.03 	-0.022607 	
-3000.01 	-0.0239473 	
-4000.03 	-0.0249211 	
-5000.01 	-0.0256739 	
-6000.01 	-0.02627 	
-7000.02 	-0.0266891 	
-8000.01 	-0.0270819 	
-9000 	-0.0275757 	
-10000 	-0.0278208 	
-11000 	-0.028009 	
-12000 	-0.0281684 	
-13000 	-0.0282969 	
-14000 	-0.0284172 	
-15000 	-0.0284783 	
-16000 	-0.0285393 	
-17000 	-0.0285974 	
-18000 	-0.0286507 	
-19000 	-0.02871 	
-18000 	-0.028695 	
-17000 	-0.0286804 	
-16000 	-0.0286476 	
-15000 	-0.028587 	
-14000 	-0.0285163 	
-13000 	-0.0284208 	
-12000 	-0.0283192 	
-11000 	-0.028141 	
-9999.99 	-0.0279665 	
